user_id,total_orders,avg_days_between_orders,avg_basket_size,reorder_rate_pct,total_items_purchased,segment
319,8,4.14,6.88,29.09,55,0
320,5,15.5,28.4,18.31,142,1
321,33,10.59,14.48,68.2,478,3
322,14,17.69,10.71,56.67,150,0
323,71,2.43,14.79,78.1,1050,3
324,11,17.2,8.45,35.48,93,2
325,7,19.17,13.43,40.43,94,1
326,5,11.25,9.4,53.19,47,0
327,63,5.55,11.65,66.89,734,3
328,12,14.55,10.5,50.0,126,0
329,8,19.0,4.13,21.21,33,2
330,7,28.33,5.14,38.89,36,2
331,8,27.29,4.88,15.38,39,2
332,12,9.0,19.5,55.56,234,1
333,8,18.0,5.25,57.14,42,0
334,63,5.73,13.35,74.55,841,3
335,6,17.6,7.33,2.27,44,2
336,11,4.1,3.82,47.62,42,0
337,12,20.55,20.58,43.32,247,1
338,5,25.5,5.2,26.92,26,2
339,3,13.0,9.67,17.24,29,2
340,5,9.0,10.6,22.64,53,0
341,11,16.2,17.73,47.18,195,1
342,16,16.6,8.69,34.53,139,0
343,4,30.0,4.5,11.11,18,2
344,9,14.25,2.78,52.0,25,0
345,3,30.0,4.33,23.08,13,2
346,6,23.2,6.0,38.89,36,2
347,3,0.5,4.33,61.54,13,0
348,28,11.0,4.82,17.04,135,0
349,7,15.83,5.86,26.83,41,2
350,14,8.08,12.21,50.29,171,0
351,14,13.62,12.86,67.78,180,0
352,10,22.0,19.5,41.03,195,1
353,11,13.4,10.09,25.23,111,0
354,5,24.0,1.4,71.43,7,0
355,13,14.83,10.46,44.85,136,0
356,3,9.0,7.67,4.35,23,2
357,8,13.43,19.25,66.88,154,1
358,7,23.83,7.57,39.62,53,2
359,15,18.57,13.27,41.71,199,1
360,3,5.0,5.33,18.75,16,0
361,6,18.4,14.83,26.97,89,1
362,11,11.3,10.09,31.53,111,0
363,12,9.91,17.83,46.73,214,1
364,18,14.59,9.83,67.8,177,0
365,15,10.07,2.47,51.35,37,0
366,3,18.0,13.0,7.69,39,2
367,4,21.0,19.5,41.03,78,1
368,4,18.67,1.75,14.29,7,2
369,16,15.67,7.56,53.72,121,0
370,27,8.92,12.3,63.25,332,0
371,3,17.5,9.67,24.14,29,2
372,12,20.45,7.25,36.78,87,2
373,58,6.14,9.79,69.54,568,3
374,16,19.87,1.44,69.57,23,0
375,7,18.5,16.57,65.52,116,1
376,8,19.0,11.13,50.56,89,0
377,3,16.5,9.67,6.9,29,2
378,8,23.43,2.5,60.0,20,2
379,19,9.5,10.53,39.5,200,0
380,12,15.27,3.92,55.32,47,0
381,16,14.33,22.19,55.21,355,1
382,29,10.43,7.31,61.79,212,0
383,9,18.63,10.89,47.96,98,0
384,9,20.0,2.33,57.14,21,0
385,4,28.33,8.25,30.3,33,2
386,4,22.33,9.5,15.79,38,2
387,8,8.86,7.38,47.46,59,0
388,10,23.22,1.4,57.14,14,2
389,12,13.09,16.75,54.73,201,1
390,22,13.48,17.32,69.55,381,1
391,23,6.68,8.78,67.82,202,0
392,6,14.0,2.5,80.0,15,0
393,10,18.33,21.5,40.93,215,1
394,5,27.25,39.6,36.36,198,1
395,3,16.0,6.0,0.0,18,2
396,18,14.29,16.44,63.51,296,1
397,3,3.0,6.0,16.67,18,0
398,53,6.88,8.32,76.42,441,3
399,3,10.0,9.0,3.7,27,2
400,5,26.25,14.8,43.24,74,2
401,4,17.67,11.25,15.56,45,2
402,4,16.67,2.25,55.56,9,0
403,32,11.16,13.81,47.74,442,0
404,6,11.4,7.67,4.35,46,2
405,5,21.0,9.0,13.33,45,2
406,4,21.0,15.5,14.52,62,2
407,4,19.67,18.25,16.44,73,1
408,4,27.33,9.0,11.11,36,2
409,86,4.19,9.88,81.41,850,3
410,28,5.78,20.21,64.49,566,1
411,11,18.8,5.64,67.74,62,0
412,4,21.67,9.25,0.0,37,2
413,20,8.21,11.9,60.08,238,0
414,3,30.0,9.33,7.14,28,2
415,6,14.0,8.33,52.0,50,0
416,3,26.5,7.0,28.57,21,2
417,9,21.0,9.0,24.69,81,2
418,8,23.57,20.88,35.93,167,1
419,24,9.7,2.83,55.88,68,0
420,22,11.29,5.82,46.09,128,0
421,3,17.0,5.33,18.75,16,2
422,27,8.5,10.0,72.22,270,3
423,42,8.73,2.38,70.0,100,3
424,4,14.67,1.75,42.86,7,0
425,7,13.67,14.14,29.29,99,1
426,13,14.92,3.08,77.5,40,0
427,8,19.71,5.38,46.51,43,2
428,3,30.0,9.33,10.71,28,2
429,29,11.79,3.45,53.0,100,0
430,8,11.0,7.63,32.79,61,0
431,9,8.75,1.22,81.82,11,0
432,52,6.47,8.56,72.13,445,3
433,5,18.5,6.4,21.88,32,2
434,4,12.33,8.5,26.47,34,0
435,13,14.5,11.15,66.9,145,0
436,16,9.8,3.0,45.83,48,0
437,19,16.67,9.74,27.57,185,2
438,11,8.6,15.36,56.21,169,1
439,9,18.0,14.33,25.58,129,2
440,18,8.41,2.44,61.36,44,0
441,14,21.23,4.86,58.82,68,0
442,12,19.36,13.25,41.51,159,1
443,10,15.22,14.1,37.59,141,1
444,42,5.59,28.12,86.62,1181,3
445,4,19.0,5.5,22.73,22,2
446,8,23.14,3.25,19.23,26,2
447,5,15.25,3.4,41.18,17,0
448,33,10.31,13.55,77.85,447,3
449,21,10.6,5.43,50.88,114,0
450,17,16.19,11.0,52.41,187,0
451,32,9.39,7.56,79.34,242,3
452,24,5.17,12.54,49.5,301,0
453,13,18.08,7.46,68.04,97,0
454,54,6.4,12.19,76.14,658,3
455,7,2.83,9.43,22.73,66,0
456,6,15.8,4.83,24.14,29,2
457,4,22.33,15.5,43.55,62,1
458,14,15.38,11.43,80.63,160,0
459,23,12.05,4.83,77.48,111,0
460,3,26.5,12.67,18.42,38,2
461,4,29.33,4.75,52.63,19,2
462,59,5.74,19.39,85.58,1144,3
463,7,18.0,12.14,27.06,85,2
464,49,7.44,7.92,56.96,388,3
465,40,8.28,12.15,66.67,486,3
466,31,11.4,22.13,64.29,686,1
467,5,9.5,11.0,38.18,55,0
468,6,28.0,3.33,50.0,20,2
469,8,22.29,6.88,36.36,55,2
470,16,7.67,4.75,60.53,76,0
471,6,11.0,20.83,31.2,125,1
472,4,24.67,2.0,12.5,8,2
473,11,6.7,20.18,53.15,222,1
474,29,7.0,6.17,53.07,179,0
475,28,9.41,6.25,42.86,175,0
476,16,16.67,13.5,43.98,216,1
477,4,10.67,5.25,28.57,21,0
478,8,17.43,8.75,10.0,70,2
479,23,14.23,10.35,64.71,238,0
480,12,4.09,14.67,39.2,176,0
481,35,9.94,12.91,76.33,452,3
482,9,18.0,12.89,56.03,116,1
483,9,13.13,2.22,80.0,20,0
484,10,26.56,3.8,57.89,38,2
485,12,12.27,11.92,58.74,143,0
486,12,19.36,23.75,57.89,285,1
487,33,9.88,14.85,67.14,490,3
488,6,23.0,18.67,24.11,112,1
489,7,15.0,11.86,24.1,83,2
490,3,14.5,1.33,25.0,4,2
491,3,26.0,10.33,22.58,31,2
492,5,10.5,11.4,50.88,57,0
493,7,12.83,10.57,44.59,74,0
494,3,13.5,34.33,27.18,103,1
495,24,13.48,12.83,62.01,308,0
496,82,3.43,5.51,76.11,452,3
497,9,9.63,17.78,53.13,160,1
498,12,19.64,11.17,30.6,134,2
499,6,4.8,9.83,22.03,59,0
500,3,16.0,12.67,39.47,38,1
501,6,23.8,11.5,39.13,69,2
502,7,15.5,22.86,56.88,160,1
503,36,10.06,9.28,61.38,334,3
504,4,23.33,7.5,23.33,30,2
505,3,16.0,4.33,7.69,13,2
506,4,25.33,3.0,16.67,12,2
507,7,8.83,19.0,24.81,133,1
508,19,12.0,12.53,64.29,238,0
509,11,21.8,14.18,53.21,156,1
510,9,4.75,6.0,16.67,54,0
511,5,20.75,10.6,20.75,53,2
512,4,17.0,14.25,26.32,57,2
513,3,4.0,2.67,0.0,8,0
514,5,8.0,4.8,50.0,24,0
515,19,13.06,3.68,57.14,70,0
516,93,3.91,9.68,81.56,900,3
517,4,7.33,8.0,59.38,32,0
518,5,23.0,3.4,47.06,17,2
519,10,16.0,2.4,75.0,24,0
520,29,11.36,8.45,57.14,245,0
521,6,21.8,4.17,40.0,25,2
522,10,24.0,6.4,37.5,64,2
523,12,19.36,4.92,40.68,59,2
524,5,25.5,13.8,44.93,69,2
525,36,9.97,5.44,61.73,196,3
526,4,18.33,38.75,52.26,155,1
527,3,29.0,2.33,42.86,7,2
528,34,10.55,14.53,74.29,494,3
529,50,6.41,6.48,59.57,324,3
530,3,8.0,16.33,6.12,49,1
531,29,11.68,5.66,63.41,164,0
532,4,24.0,14.75,25.42,59,2
533,4,18.33,10.25,19.51,41,2
534,7,20.0,1.86,38.46,13,2
535,28,8.56,7.14,48.0,200,0
536,3,30.0,8.33,12.0,25,2
537,5,9.75,4.0,5.0,20,2
538,26,13.16,8.69,48.67,226,0
539,17,18.38,9.35,62.26,159,0
540,5,10.0,9.2,4.35,46,2
541,5,20.5,5.4,11.11,27,2
542,3,19.5,4.0,25.0,12,2
543,11,12.8,11.27,47.58,124,0
544,4,20.67,5.5,13.64,22,2
545,4,14.33,11.75,23.4,47,2
546,6,27.0,2.17,61.54,13,2
547,10,6.33,20.9,45.93,209,1
548,7,17.17,9.71,33.82,68,2
549,10,16.44,7.9,31.65,79,2
550,4,15.33,30.25,38.84,121,1
551,10,19.78,8.6,30.23,86,2
552,12,13.18,5.83,68.57,70,0
553,9,19.88,13.22,27.73,119,2
554,6,26.6,11.67,40.0,70,2
555,11,17.4,8.55,50.0,94,0
556,3,4.5,10.67,0.0,32,0
557,5,24.25,11.8,18.64,59,2
558,27,7.42,11.63,46.82,314,0
559,22,12.43,11.59,64.31,255,0
560,34,7.76,4.79,78.53,163,3
561,4,17.67,1.75,28.57,7,2
562,51,4.62,1.25,79.69,64,3
563,5,12.5,8.4,16.67,42,2
564,9,24.63,19.67,44.63,177,1
565,5,14.25,3.4,23.53,17,2
566,13,19.0,10.85,34.75,141,2
567,21,15.25,13.24,59.71,278,1
568,10,15.78,7.5,32.0,75,0
569,3,30.0,1.0,33.33,3,2
570,6,16.4,11.33,33.82,68,2
571,6,21.4,12.33,39.19,74,2
572,3,11.5,7.67,34.78,23,0
573,15,12.57,5.4,56.79,81,0
574,11,15.9,8.73,44.79,96,0
575,4,22.67,2.25,22.22,9,2
576,6,26.2,7.83,40.43,47,2
577,5,16.25,12.0,31.67,60,2
578,3,15.0,11.33,44.12,34,0
579,3,27.5,5.0,0.0,15,2
580,21,15.6,11.05,37.5,232,0
581,3,30.0,9.33,3.57,28,2
582,21,14.65,17.19,63.16,361,1
583,34,9.21,20.68,68.71,703,1
584,8,13.57,8.13,53.85,65,0
585,11,20.2,4.82,43.4,53,2
586,4,18.67,7.0,35.71,28,2
587,12,12.55,8.92,28.97,107,0
588,18,11.59,8.0,37.5,144,0
589,4,17.33,18.0,43.06,72,1
590,4,6.67,9.0,30.56,36,0
591,7,3.0,2.14,6.67,15,0
592,4,18.33,8.0,21.88,32,2
593,17,17.13,1.94,78.79,33,0
594,5,27.75,3.4,35.29,17,2
595,7,23.5,7.71,24.07,54,2
596,64,5.63,12.39,74.78,793,3
597,7,24.33,13.43,46.81,94,2
598,7,9.5,3.0,28.57,21,0
599,32,5.55,2.63,63.1,84,3
600,7,9.0,19.71,65.94,138,1
601,9,14.13,10.22,40.22,92,0
602,7,7.0,4.57,56.25,32,0
603,5,23.75,16.2,12.35,81,2
604,27,11.88,15.0,51.85,405,1
605,5,16.25,33.4,38.92,167,1
606,30,9.62,5.73,41.28,172,0
607,10,17.67,9.7,52.58,97,0
608,13,19.33,4.08,69.81,53,0
609,18,18.59,6.44,56.03,116,0
610,3,10.5,16.33,32.65,49,1
611,16,13.8,10.0,71.25,160,0
612,39,8.84,14.26,81.12,556,3
613,12,8.0,13.75,65.45,165,0
614,3,30.0,10.33,12.9,31,2
615,4,24.0,8.25,9.09,33,2
616,28,11.07,12.14,54.12,340,0
617,10,7.11,7.9,25.32,79,0
618,27,10.85,17.48,47.03,472,1
619,4,20.67,1.0,75.0,4,0
620,5,29.5,2.2,72.73,11,2
621,4,20.0,29.75,38.66,119,1
622,5,23.0,9.6,47.92,48,2
623,11,18.3,15.73,64.74,173,1
624,6,25.6,6.17,32.43,37,2
625,3,11.5,20.0,50.0,60,1
626,94,2.72,8.6,73.39,808,3
627,3,30.0,1.33,25.0,4,2
628,3,24.5,25.33,32.89,76,1
629,7,23.33,5.86,21.95,41,2
630,41,7.92,7.61,78.21,312,3
631,7,21.17,8.0,37.5,56,2
632,5,12.5,4.2,23.81,21,0
633,4,25.67,3.75,26.67,15,2
634,11,13.9,7.73,48.24,85,0
635,23,14.09,4.3,74.75,99,0
636,21,12.2,1.43,43.33,30,0
637,17,13.88,7.29,48.39,124,0
638,20,14.37,8.55,52.63,171,0
639,3,12.5,18.67,21.43,56,1
640,3,13.0,8.67,7.69,26,2
641,29,8.32,10.59,67.1,307,3
642,6,18.6,7.83,27.66,47,2
643,9,17.88,11.11,45.0,100,0
644,3,6.0,3.0,11.11,9,0
645,39,6.71,5.72,60.54,223,3
646,56,6.53,6.07,84.12,340,3
647,9,11.63,7.67,11.59,69,2
648,4,22.0,15.25,19.67,61,2
649,45,7.95,19.71,79.82,887,3
650,9,17.13,11.11,57.0,100,0
651,14,5.92,8.86,53.23,124,0
652,95,3.6,5.23,89.13,497,3
653,25,12.33,15.36,60.16,384,1
654,8,7.57,1.63,38.46,13,0
655,78,4.71,8.73,66.96,681,3
656,3,19.5,10.33,32.26,31,2
657,30,9.41,10.63,40.75,319,0
658,32,11.26,18.53,77.91,593,3
659,3,16.5,6.0,5.56,18,2
660,9,20.38,12.0,50.93,108,1
661,9,12.75,9.11,47.56,82,0
662,12,14.45,12.42,53.69,149,0
663,4,16.67,4.25,29.41,17,2
664,7,24.5,8.14,36.84,57,2
665,21,13.7,3.81,36.25,80,0
666,3,30.0,1.67,0.0,5,2
667,75,4.47,11.83,79.37,887,3
668,14,17.77,15.5,23.04,217,1
669,28,7.3,10.32,42.91,289,0
670,5,17.0,13.8,11.59,69,2
671,8,24.43,23.63,58.73,189,1
672,18,13.47,17.72,73.98,319,1
673,6,16.4,12.5,34.67,75,2
674,4,8.67,21.0,10.71,84,1
675,10,23.44,7.9,37.97,79,2
676,11,21.4,1.73,63.16,19,0
677,5,20.0,1.2,0.0,6,2
678,21,11.95,16.48,68.79,346,1
679,8,21.29,8.5,51.47,68,2
680,6,23.2,1.83,18.18,11,2
681,5,10.25,18.8,21.28,94,1
682,19,12.5,3.53,47.76,67,0
683,6,20.6,20.0,36.67,120,1
684,26,7.2,3.58,83.87,93,3
685,4,22.0,10.0,37.5,40,2
686,3,24.5,3.33,30.0,10,2
687,19,13.72,40.21,74.35,764,1
688,63,4.31,5.98,72.15,377,3
689,3,30.0,16.33,12.24,49,2
690,99,3.41,8.6,76.85,851,3
691,22,13.67,2.05,44.44,45,0
692,11,19.5,9.18,27.72,101,2
693,5,12.0,7.8,12.82,39,2
694,8,22.86,6.88,23.64,55,2
